Código;Descripción;;Linea;Imp.;Desc.;Precio Vent.;Precio May.;Precio Cost.;Stock Min;Mon.
7896071021333;GALLETITA MABEL TORTIX FRUTILLA 160;UNIDADES;1;10;0;3.300;0;2.650;2;1
7896071021340;GALLETITA MABEL TORTIX CHOCOLATE 160G;UNIDADES;1;10;0;3.300;0;2.650;2;1
7896071021357;GALLETITA MABEL TORTIX LIMON 160G;UNIDADES;1;10;0;3.300;0;2.650;2;1
7896071021562;WAFER MABEL FRUTILLA 115GE;UNIDADES;1;10;0;3.350;0;2.519;2;1
7896071021579;WAFER MABEL CHOCOLATE 115GR;UNIDADES;1;10;0;3.090;0;2.464;2;1
7896071022545;GALLETIT ELBI'S 85GR;UNIDADES;1;10;0;1.620;0;1.297;2;1
7896071024051;GALLETITAS MABEL CHOCO 70G;UNIDADES;1;10;0;990;0;700;2;1
7896072005011;CHOCOLATE EN POLVO MUKY DE 200 GRS.;UNIDADES;26;10;0;6.100;0;4.568;2;1
7896072005035;CHOCOLATE EN POLVO MUKY 1000 GRS.;UNIDADES;1;10;0;19.930;0;16.500;2;1
7896072005042;CHOCOLATE EN POLVO MUKY 1000 GRS.;UNIDADES;27;10;0;15.290;0;12.629;2;1
7896072005080;CHOCOLATE POLVO MUKY 400 GRS.;UNIDADES;27;10;0;8.500;0;6.690;2;1
7896072005172;MUKY 25 G.;UNIDADES;1;10;0;1.000;0;825;2;1
7896072005202;CHOCOLATE MUKY 200G;UNIDADES;27;10;0;4.500;0;3.376;2;1
7896072005226;XUKY LIGHT;UNIDADES;1;10;0;8.380;0;6.960;2;1
7896072005257;MUKY POLVO 1KG;UNIDADES;26;10;0;19.500;0;15.630;2;1
7896072005691;CHOCOLATE MUKY INSTANT 400GRS;UNIDADES;27;10;0;11.000;0;8.730;2;1
7896072006001;PREPARADO EN POLVO FRUTILLA 400G;UNIDADES;1;10;0;6.000;0;4.800;2;1
78960720060032;PREPARADO EN POLVO FRUTAS TROP 400G;UNIDADES;1;10;0;6.000;0;4.800;2;1
7896072006018;PREPARADO EN POLVO POTE 400G FRUTILLA;UNIDADES;1;10;0;8.700;0;6.900;2;1
7896072006025;PREPARADO EN POLVO POTE 200G FRUT;UNIDADES;1;10;0;6.350;0;5.043;2;1
7896072006032;PREPARADO EN POLVO FRUTAS TROP 400G;UNIDADES;1;10;0;6.000;0;4.800;2;1
