id;categoria_id;nombre;precio;tipo_id
396;1175;Queso Cuartirolo por kg;38000;2
397;1176;Queso Paraguay Lactolanda Por Kg;39900;2
398;1176;Queso Paraguay Casero Por Kg;34500;2
399;1177;Queso Roquefort por kilo;65000;2
400;1178;Queso Sardo Trebol por kg;72000;2
401;1179;Queso Danbo Sancor Feteado;47500;2
402;1179;Queso Danbo Sandwich Lactolanda por kilo;43500;2
403;1181;Queso de Ricota San Cristobal;11200;2
404;1182;Chocolate en Polvo Toddy 800gr;22900;1
405;1182;Chocolate en Polvo Nescau 400gr lata;11900;1
406;1182;Chocolate en Polvo Light Nescau 400gr lata;18400;1
407;1183;Leche Chocolatada Trebol 1lt;7950;1
408;1183;Chocolatada Lactolanda 1 litro;7450;1
409;1183;Leche Chocolatada Trebol 200ml;2200;1
410;1184;Crema de Leche Lactolanda 200gr tetrapak;6700;1
411;1184;Crema de Leche Nestle Lata 300gr;9500;1
412;1184;Crema de Leche Lactolanda 1 Litro Sachet;17200;1
413;1185;Manteca Soya 250gr;4000;1
414;1185;Manteca Trebol Plateada Sin Sal 200gr;10900;1
415;1185;Manteca Delicata 250gr;5650;1
416;1186;Manteca Light Untable La Serenisima Pote 200gr;17700;1
417;1187;Margarina con sal Soya 500gr pote;7900;1
418;1187;Margarina con sal Soya 250gr pote;3900;1
419;1189;Agua Mineral Dasani sin gas 3lts;4700;1
420;1189;Agua Seltz mineral sin gas 500ml;1650;1
421;1189;Agua Dasani Mineral sin gas 500ml;2350;1
422;1190;Agua Genesis Mineral con gas 500ml;2000;1
423;1190;Agua Mineral La Fuente Con Gas 2Lt;2400;1
424;1190;Agua Dasani Mineral con gas 500ml;2350;1
425;1191;Agua Tónica Schweppes 500ml;4800;1
426;1191;Agua Tónica Schweppes 2 Litros;10500;1
427;1192;Agua Saborizada Aquarius Pomelo 500 ml;3900;1
428;1192;Agua Saborizada Aquarius Pomelo 1.5 Litros;7800;1
429;1193;Jugo Caricia Polvo Frutilla 200g;5400;1
430;1193;Jugo Caricia Polvo Piña Sobre 25g;900;1
431;1193;Jugo Caricia Polvo Frutilla Sobre 25g;900;1
432;1194;Jugo Purifru Naranja 1 LT;15900;1
433;1194;Jugo Puro Sol Manzana 200ml;2400;1
434;1194;Jugo Watts 200ml Naranja;2950;1
435;1195;Jugo Ades 200ml Naranja;3400;1
436;1195;Jugo Ades 200ml Manzana;3400;1
437;1195;Jugo Ades 1lt Manzana;8400;1
438;1196;Pulp Naranja Botella 2 Lts;9500;1
439;1196;Sprite Normal Botella 500ml descartable;5000;1
440;1196;Sprite Normal Botella 2lt descartable;10800;1
